Variable	Type	Description	Workflow
kaptive_ocl_confidence	String	Kaptive’s confidence in the OCL match (see <https://github.com/katholt/Kaptive/wiki/Interpreting-the-results>)	TheiaProk_FASTA, TheiaProk_ONT, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE
kaptive_output_file_k	File	TSV <https://github.com/katholt/Kaptive/wiki/How-to-run#output-filesfrom> the K locus from Kaptive	TheiaProk_FASTA, TheiaProk_ONT, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE
kaptive_output_file_oc	File	TSV <https://github.com/katholt/Kaptive/wiki/How-to-run#output-filesfrom> the OC locus from Kaptive	TheiaProk_FASTA, TheiaProk_ONT, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE
kaptive_version	String	Version of Kaptive used	TheiaProk_FASTA, TheiaProk_ONT, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE
keep_list	File	A list of samples included in the phylogenetic tree	Augur
kleborate_docker	String	Kleborate docker image used	TheiaProk_FASTA, TheiaProk_ONT, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE
kleborate_genomic_resistance_mutations	String	Genomic resistance mutations identifies by Kleborate	TheiaProk_FASTA, TheiaProk_ONT, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE
kleborate_key_resistance_genes	String	Key resistance genes identified by Kleborate	TheiaProk_FASTA, TheiaProk_ONT, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE
kleborate_klocus	String	Best matching K locus identified by  Kleborate via Kaptive	TheiaProk_FASTA, TheiaProk_ONT, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE
kleborate_klocus_confidence	String	Kaptive’s confidence in the KL match (see <https://github.com/katholt/Kaptive/wiki/Interpreting-the-results>)	TheiaProk_FASTA, TheiaProk_ONT, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE
kleborate_ktype	String	Best matching K type identified by  Kleborate via Kaptive	TheiaProk_FASTA, TheiaProk_ONT, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE
kleborate_mlst_sequence_type	String	<https://github.com/katholt/Kleborate/wiki/MLST#multi-locus-sequence-typing-mlst> call by Kleborate	TheiaProk_FASTA, TheiaProk_ONT, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE
kleborate_olocus	String	Best matching OC locus identified by  Kleborate via Kaptive	TheiaProk_FASTA, TheiaProk_ONT, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE
kleborate_olocus_confidence	String	Kaptive’s confidence in the KL match (see <https://github.com/katholt/Kaptive/wiki/Interpreting-the-results>)	TheiaProk_FASTA, TheiaProk_ONT, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE
kleborate_otype	String	Best matching OC type identified by  Kleborate via Kaptive	TheiaProk_FASTA, TheiaProk_ONT, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE
kleborate_output_file	File	See also <https://github.com/katholt/Kleborate/wiki/Scores-and-counts>	TheiaProk_FASTA, TheiaProk_ONT, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE
kleborate_resistance_score	String	Resistance score as given by kleborate	TheiaProk_FASTA, TheiaProk_ONT, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE
kleborate_version	String	Version of Kleborate used	TheiaProk_FASTA, TheiaProk_ONT, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE
kleborate_virulence_score	String	Virulence score as given by kleborate	TheiaProk_FASTA, TheiaProk_ONT, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE
kmerfinder_database	String	Database used to run KmerFinder	TheiaProk_FASTA, TheiaProk_ONT, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE
kmerfinder_docker	String	Docker image used to run KmerFinder	TheiaProk_FASTA, TheiaProk_ONT, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE
kmerfinder_query_coverage	String	KmerFinder’s query coverage of the top hit result	TheiaProk_FASTA, TheiaProk_ONT, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE
kmerfinder_results_tsv	File	Output TSV file created by KmerFinder	TheiaProk_FASTA, TheiaProk_ONT, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE
kmerfinder_template_coverage	String	Percent of kmer coverage pertaining to the template, or reference selected	TheiaProk_FASTA, TheiaProk_ONT, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE
kmerfinder_top_hit	String	Top hit species of KmerFinder	TheiaProk_FASTA, TheiaProk_ONT, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE
kraken_human	Float	Percent of human read data detected using the Kraken2 software	Freyja (ONT), Freyja (Illumina paired-end), Freyja (Illumina single-end), TheiaCoV_ClearLabs, TheiaCoV_ONT, TheiaCoV_Illumina_PE, TheiaCoV_Illumina_SE
kraken_human_dehosted	Float	Percent of human read data detected using the Kraken2 software after host removal	NCBI_Scrub_PE, NCBI_Scrub_SE, Freyja (ONT), Freyja (Illumina paired-end), Freyja (Illumina single-end), TheiaCoV_ClearLabs, TheiaCoV_ONT, TheiaCoV_Illumina_PE, TheiaCoV_Illumina_SE
kraken_report	File	Full Kraken report	Freyja (ONT), Freyja (Illumina paired-end), Freyja (Illumina single-end), TheiaCoV_ClearLabs, TheiaCoV_ONT, TheiaCoV_Illumina_PE, TheiaViral_Illumina_PE, TheiaCoV_Illumina_SE
kraken_report_dehosted	File	Full Kraken report after host removal	NCBI_Scrub_PE, NCBI_Scrub_SE, Freyja (ONT), Freyja (Illumina paired-end), Freyja (Illumina single-end), TheiaCoV_ClearLabs, TheiaCoV_ONT, TheiaCoV_Illumina_PE, TheiaCoV_Illumina_SE
kraken_sc2	String	Percent of SARS-CoV-2 read data detected using the Kraken2 software	Freyja (ONT), Freyja (Illumina paired-end), Freyja (Illumina single-end), TheiaCoV_ClearLabs, TheiaCoV_ONT, TheiaCoV_Illumina_PE, TheiaCoV_Illumina_SE
kraken_sc2_dehosted	String	Percent of SARS-CoV-2 read data detected using the Kraken2 software after host removal	NCBI_Scrub_PE, NCBI_Scrub_SE, Freyja (ONT), Freyja (Illumina paired-end), Freyja (Illumina single-end), TheiaCoV_ClearLabs, TheiaCoV_ONT, TheiaCoV_Illumina_PE, TheiaCoV_Illumina_SE
kraken_target_organism	String	Percent of target organism read data detected using the Kraken2 software	TheiaCoV_ClearLabs, TheiaCoV_ONT, TheiaCoV_Illumina_PE, TheiaCoV_Illumina_SE
kraken_target_organism_dehosted	String	Percent of target organism read data detected using the Kraken2 software after host removal	TheiaCoV_ClearLabs, TheiaCoV_ONT, TheiaCoV_Illumina_PE, TheiaCoV_Illumina_SE
kraken_target_organism_name	String	The name of the target organism; e.g., "Monkeypox" or "Human immunodeficiency virus"	TheiaCoV_ClearLabs, TheiaCoV_ONT, TheiaCoV_Illumina_PE, TheiaCoV_Illumina_SE
kraken_version	String	Version of Kraken software used	Freyja (ONT), Freyja (Illumina paired-end), Freyja (Illumina single-end), TheiaCoV_ClearLabs, TheiaCoV_ONT, TheiaCoV_Illumina_PE, TheiaCoV_Illumina_SE, TheiaViral_Illumina_PE
kraken_version_dehosted	String	Version of Kraken2 software used	NCBI_Scrub_PE, NCBI_Scrub_SE
kraken2_*_wf_analysis_date	String	Date the workflow was run	Kraken_SE, Kraken_PE, Kraken_ONT
kraken2_*_wf_version	String	Workflow version	Kraken_SE, Kraken_PE, Kraken_ONT
kraken2_classified_read1	File	FASTQ file of classified forward/R1 reads	Kraken_SE, Kraken_PE, Kraken_ONT
kraken2_classified_read2	File	FASTQ file of classified reverse/R2 reads (if PE)	Kraken_PE
kraken2_classified_report	File	Standard Kraken2 output report. TXT filetype, but can be opened in Excel as a TSV file	Kraken_SE, Kraken_PE, Kraken_ONT
kraken2_database	String	Kraken2 database used for the taxonomic assignment	TheiaProk_ONT, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE
kraken2_docker	String	Docker image used to run kraken2	Kraken_SE, Kraken_PE, Kraken_ONT, TheiaMeta_Illumina_PE, TheiaProk_ONT, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE
kraken2_percent_human_clean	Float	The percentage of human-classified reads in the sample's clean reads	TheiaMeta_Illumina_PE
kraken2_percent_human_raw	Float	The percentage of human-classified reads in the sample's raw reads	TheiaMeta_Illumina_PE
kraken2_report	File	TXT document describing taxonomic prediction of every FASTQ record. This file is usually very large and cumbersome to open and view	Kraken_SE, Kraken_PE, Kraken_ONT, TheiaProk_ONT, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE
kraken2_report_clean	File	The full Kraken report for the sample's clean reads	TheiaMeta_Illumina_PE
kraken2_report_raw	File	The full Kraken report for the sample's raw reads	TheiaMeta_Illumina_PE
kraken2_unclassified_read1	File	FASTQ file of unclassified forward/R1 reads	Kraken_SE, Kraken_PE, Kraken_ONT
kraken2_unclassified_read2	File	FASTQ file of unclassified reverse/R2 reads (if PE)	Kraken_PE
kraken2_version	String	The version of kraken2 used	Kraken_SE, Kraken_PE, Kraken_ONT, TheiaMeta_Illumina_PE, TheiaProk_ONT, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE
krona_docker	String	The docker image of Krona	TheiaMeta_Illumina_PE, Kraken_SE, Kraken_PE
krona_html	File	HTML report of krona with visualisation of taxonomic classification of reads (if PE or SE)	Kraken_SE, Kraken_PE
krona_html_clean	File	The KronaPlot after reads are cleaned	TheiaMeta_Illumina_PE
krona_html_raw	File	The KronaPlot before reads are cleaned	TheiaMeta_Illumina_PE
krona_version	String	The version of Krona	TheiaMeta_Illumina_PE, Kraken_SE, Kraken_PE
ksnp3_core_snp_matrix	File	The SNP matrix made with the core genome; formatted for Phandango if `phandango_coloring` input is `true`	kSNP3
ksnp3_core_snp_matrix_status	String	Will print either `The core SNP matrix was produced` OR `The core SNP matrix could not be produced`	kSNP3
ksnp3_core_snp_table	File	Formatted version of ksnp3_vcf_ref_genome file with only core SNPs, sorted by number of occurrences in the sample set	kSNP3
ksnp3_core_tree	File	The phylogenetic tree made with the core genome	kSNP3
ksnp3_docker	String	The docker image used	kSNP3
ksnp3_filtered_metadata	File	Optional output file with filtered metadata that is only produced if the optional `summarize_data` task is used.	kSNP3
ksnp3_ml_tree	File	Maximum likelihood tree that is only produced if `ksnp3_args` includes `"-ML"`	kSNP3
ksnp3_nj_tree	File	Neighbor joining tree that is only produced if `ksnp3_args` includes `"-NJ"`	kSNP3
ksnp3_number_core_snps	String	Number of core SNPs in the sample set	kSNP3
ksnp3_number_snps	String	Number of SNPs in the sample set	kSNP3
ksnp3_pan_snp_matrix	File	The SNP matrix made with the pangenome; formatted for Phandango if `phandango_coloring` input is `true`	kSNP3
ksnp3_pan_tree	File	The phylogenetic tree made with the pangenome	kSNP3
ksnp3_snp_dists_version	String	The version of snp_dists used in the workflow	kSNP3
ksnp3_snps	File	File containing the set of SNPs used in the analysis. Required if more trees are to be appended to the existing one.	kSNP3
ksnp3_summarized_data	File	CSV presence/absence matrix generated by the `summarize_data` task from the list of columns provided; formatted for Phandango if `phandango_coloring` input is `true`	kSNP3
ksnp3_vcf_ref_genome	File	A VCF file containing the variants detected in the core genome	kSNP3
ksnp3_vcf_ref_samplename	String	The name of the (user-supplied) sample used as the reference for calling SNPs.	kSNP3
ksnp3_vcf_snps_not_in_ref	File	A TSV file of the SNPs not present in the reference genome, but were identified by kSNP3.	kSNP3
ksnp3_wf_analysis_date	String	The date the workflow was run	kSNP3
ksnp3_wf_version	String	The version of the repository the workflow is hosted in	kSNP3
ksnp4_core_snp_matrix	File	The SNP matrix made with the core genome; formatted for Phandango if `phandango_coloring` input is `true`	kSNP4
ksnp4_core_snp_matrix_status	String	Will print either `The core SNP matrix was produced` OR `The core SNP matrix could not be produced`	kSNP4
ksnp4_core_snp_table	File	Formatted version of ksnp4_vcf_ref_genome file with only core SNPs, sorted by number of occurrences in the sample set	kSNP4
ksnp4_core_tree	File	The phylogenetic tree made with the core genome	kSNP4
ksnp4_docker	String	The docker image used	kSNP4
ksnp4_filtered_metadata	File	Optional output file with filtered metadata that is only produced if the optional `summarize_data` task is used.	kSNP4
ksnp4_ml_tree	File	Maximum likelihood tree that is only produced if `ksnp4_args` includes `"-ML"`	kSNP4
ksnp4_nj_tree	File	Neighbor joining tree that is only produced if `ksnp4_args` includes `"-NJ"`	kSNP4
ksnp4_number_core_snps	String	Number of core SNPs in the sample set	kSNP4
ksnp4_number_snps	String	Number of SNPs in the sample set	kSNP4
ksnp4_pan_snp_matrix	File	The SNP matrix made with the pangenome; formatted for Phandango if `phandango_coloring` input is `true`	kSNP4
ksnp4_pan_tree	File	The phylogenetic tree made with the pangenome	kSNP4
ksnp4_snp_dists_version	String	The version of snp_dists used in the workflow	kSNP4
ksnp4_snps	File	File containing the set of SNPs used in the analysis. Required if more trees are to be appended to the existing one.	kSNP4
ksnp4_summarized_data	File	CSV presence/absence matrix generated by the `summarize_data` task from the list of columns provided; formatted for Phandango if `phandango_coloring` input is `true`	kSNP4
ksnp4_vcf_ref_genome	File	A VCF file containing the variants detected in the core genome	kSNP4
ksnp4_vcf_ref_samplename	String	The name of the (user-supplied) sample used as the reference for calling SNPs.	kSNP4
ksnp4_vcf_snps_not_in_ref	File	A TSV file of the SNPs not present in the reference genome, but were identified by kSNP4.	kSNP4
ksnp4_wf_analysis_date	String	The date the workflow was run	kSNP4
ksnp4_wf_version	String	The version of the repository the workflow is hosted in	kSNP4
largest_contig	Int	The size of the largest contig in basepairs	TheiaMeta_Illumina_PE
legsta_predicted_sbt	String	Sequence based type predicted by Legsta	TheiaProk_FASTA, TheiaProk_ONT, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE
legsta_results	File	TSV file of legsta results (see <https://github.com/tseemann/legsta#output>)	TheiaProk_FASTA, TheiaProk_ONT, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE
legsta_version	String	Version of legsta used	TheiaProk_FASTA, TheiaProk_ONT, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE
lissero_results	File	TSV results file from LisSero (see <https://github.com/MDU-PHL/LisSero#example-output>)	TheiaProk_FASTA, TheiaProk_ONT, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE
lissero_serotype	String	Serotype predicted by LisSero	TheiaProk_FASTA, TheiaProk_ONT, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE
lissero_version	String	Version of LisSero used	TheiaProk_FASTA, TheiaProk_ONT, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE
lyveset_alignment_fasta	File	The output alignment file in fasta format	Lyve_SET
lyveset_docker_image	String	Lyve_SET docker image used for analysis	Lyve_SET
lyveset_log	File	Lyve_SET task log file	Lyve_SET
lyveset_pairwise_matrix	File	Pairwise SNP distances matrix	Lyve_SET
lyveset_pooled_snps_vcf	File	SNPs vcf	Lyve_SET
lyveset_raxml_tree	File	RAxML-generated tree in newick format	Lyve_SET
lyveset_wf_analysis_date	String	Date analysis was run	Lyve_SET
lyveset_wf_version	String	Version of PHB used when running Lyveset_PHB	Lyve_SET
mashtree_docker	String	The Docker image used to run the mashtree task	MashTree
mashtree_filtered_metadata	File	Optional output file with filtered metadata that is only produced if the optional `summarize_data` task is used	MashTree
mashtree_matrix	File	The distance matrix made	MashTree
mashtree_summarized_data	File	CSV presence/absence matrix generated by the `summarize_data` task from the list of columns provided; formatted for Phandango if `phandango_coloring` input is `true`	MashTree
mashtree_tree	File	The phylogenetic tree made	MashTree
mashtree_version	String	The version of mashtree used in the workflow	MashTree
mashtree_wf_analysis_date	String	The date the workflow was run	MashTree
mashtree_wf_version	String	The version of PHB the workflow is hosted in	MashTree
meanbaseq_trim	Float	Mean quality of the nucleotide basecalls aligned to the reference genome after primer trimming	TheiaCoV_ClearLabs, TheiaCoV_ONT, TheiaCoV_Illumina_SE
meanbaseq_trim	String	Mean quality of the nucleotide basecalls aligned to the reference genome after primer trimming	TheiaCoV_Illumina_PE
meanmapq_trim	Float	Mean quality of the mapped reads to the reference genome after primer trimming	TheiaCoV_ClearLabs, TheiaCoV_ONT, TheiaCoV_Illumina_SE
meanmapq_trim	String	Mean quality of the mapped reads to the reference genome after primer trimming	TheiaCoV_Illumina_PE
medaka_model	String	Model used by Medaka	TheiaProk_ONT, TheiaEuk_ONT
medaka_reference	String	Reference sequence used in medaka task	TheiaCoV_ClearLabs, TheiaCoV_ONT
medaka_vcf	File	A VCF file containing the identified variants	TheiaCoV_ONT, TheiaEuk_ONT
medaka_version	String	Version of Medaka used	TheiaProk_ONT, TheiaEuk_ONT
meningotype_BAST	String	BAST type	TheiaProk_FASTA, TheiaProk_ONT, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE
meningotype_FetA	String	FetA type	TheiaProk_FASTA, TheiaProk_ONT, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE
meningotype_fHbp	String	fHbp type	TheiaProk_FASTA, TheiaProk_ONT, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE
meningotype_NadA	String	NBA type	TheiaProk_FASTA, TheiaProk_ONT, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE
meningotype_NHBA	String	NHBA type	TheiaProk_FASTA, TheiaProk_ONT, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE
meningotype_PorA	String	PorA type	TheiaProk_FASTA, TheiaProk_ONT, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE
meningotype_PorB	String	PorB type	TheiaProk_FASTA, TheiaProk_ONT, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE
meningotype_serogroup	String	Serogroup	TheiaProk_FASTA, TheiaProk_ONT, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE
meningotype_tsv	File	Full result file	TheiaProk_FASTA, TheiaProk_ONT, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE
meningotype_version	String	Version of meningotype used	TheiaProk_FASTA, TheiaProk_ONT, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE
mercury_prep_n_batch_analysis_date	String	Date analysis was run	Mercury_Prep_N_Batch
mercury_prep_n_batch_version	String	Version of the PHB repository that hosts this workflow	Mercury_Prep_N_Batch
mercury_script_version	String	Version of the Mercury tool that was used in this workflow	Mercury_Prep_N_Batch
metadata_merged	File	Tab-delimited text file of the merged augur_metadata input files from all samples	Augur
metaspades_docker	String	The Docker image of metaspades	TheiaMeta_Illumina_PE
metaspades_version	String	The version of metaspades	TheiaMeta_Illumina_PE
midas_docker	String	MIDAS docker image used	TheiaProk_Illumina_PE, TheiaProk_Illumina_SE
midas_primary_genus	String	The primary genus detected by MIDAS	TheiaMeta_Illumina_PE,TheiaProk_Illumina_PE, TheiaProk_Illumina_SE
midas_report	File	TSV report of full MIDAS results	TheiaMeta_Illumina_PE,TheiaProk_Illumina_PE, TheiaProk_Illumina_SE
midas_secondary_genus	String	Genus of the next most abundant species after removing all species of the most abundant genus	TheiaProk_Illumina_PE, TheiaProk_Illumina_SE
midas_secondary_genus_abundance	String	Relative abundance of secondary genus	TheiaProk_Illumina_PE, TheiaProk_Illumina_SE
midas_secondary_genus_coverage	String	Absolute coverage of secondary genus	TheiaProk_Illumina_PE, TheiaProk_Illumina_SE
minimap2_docker	String	The Docker image of minimap2	Freyja (ONT), TheiaMeta_Illumina_PE, TheiaViral_ONT
minimap2_version	String	The version of minimap2	Freyja (ONT), TheiaMeta_Illumina_PE, TheiaViral_ONT
n50_value	Int	N50 of assembly calculated by QUAST	TheiaEuk_Illumina_PE, TheiaProk_FASTA, TheiaProk_ONT, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE, TheiaEuk_ONT
nanoplot_docker	String	Docker image for nanoplot	TheiaCoV_ONT, TheiaProk_ONT, TheiaEuk_ONT
nanoplot_html_clean	File	An HTML report describing the clean reads	Freyja (ONT), TheiaCoV_ONT, TheiaProk_ONT, TheiaViral_ONT, TheiaEuk_ONT
nanoplot_html_raw	File	An HTML report describing the raw reads	Freyja (ONT), TheiaCoV_ONT, TheiaProk_ONT, TheiaViral_ONT, TheiaEuk_ONT
nanoplot_num_reads_clean1	Int	Number of clean reads	Freyja (ONT), TheiaCoV_ONT, TheiaProk_ONT, TheiaViral_ONT, TheiaEuk_ONT
nanoplot_num_reads_raw1	Int	Number of raw reads	Freyja (ONT), TheiaCoV_ONT, TheiaProk_ONT, TheiaViral_ONT, TheiaEuk_ONT
nanoplot_r1_est_coverage_clean	Float	Estimated coverage on the clean reads by nanoplot	Freyja (ONT), TheiaCoV_ONT, TheiaProk_ONT, TheiaEuk_ONT
nanoplot_r1_est_coverage_raw	Float	Estimated coverage on the raw reads by nanoplot	Freyja (ONT), TheiaCoV_ONT, TheiaProk_ONT, TheiaEuk_ONT
nanoplot_r1_mean_q_clean	Float	Mean quality score of clean forward reads	Freyja (ONT), TheiaCoV_ONT, TheiaProk_ONT, TheiaViral_ONT, TheiaEuk_ONT
nanoplot_r1_mean_q_raw	Float	Mean quality score of raw forward reads	Freyja (ONT), TheiaCoV_ONT, TheiaProk_ONT, TheiaViral_ONT, TheiaEuk_ONT
nanoplot_r1_mean_readlength_clean	Float	Mean read length of clean forward reads	Freyja (ONT), TheiaCoV_ONT, TheiaProk_ONT, TheiaViral_ONT, TheiaEuk_ONT
nanoplot_r1_mean_readlength_raw	Float	Mean read length of raw forward reads	Freyja (ONT), TheiaCoV_ONT, TheiaProk_ONT, TheiaViral_ONT, TheiaEuk_ONT
nanoplot_r1_median_q_clean	Float	Median quality score of clean forward reads	Freyja (ONT), TheiaCoV_ONT, TheiaProk_ONT, TheiaViral_ONT, TheiaEuk_ONT
nanoplot_r1_median_q_raw	Float	Median quality score of raw forward reads	Freyja (ONT), TheiaCoV_ONT, TheiaProk_ONT, TheiaViral_ONT, TheiaEuk_ONT
nanoplot_r1_median_readlength_clean	Float	Median read length of clean forward reads	Freyja (ONT), TheiaCoV_ONT, TheiaProk_ONT, TheiaViral_ONT, TheiaEuk_ONT
nanoplot_r1_median_readlength_raw	Float	Median read length of raw forward reads	Freyja (ONT), TheiaCoV_ONT, TheiaProk_ONT, TheiaViral_ONT, TheiaEuk_ONT
nanoplot_r1_n50_clean	Float	N50 of clean forward reads	Freyja (ONT), TheiaCoV_ONT, TheiaProk_ONT, TheiaViral_ONT, TheiaEuk_ONT
nanoplot_r1_n50_raw	Float	N50 of raw forward reads	Freyja (ONT), TheiaCoV_ONT, TheiaProk_ONT, TheiaViral_ONT, TheiaEuk_ONT
nanoplot_r1_stdev_readlength_clean	Float	Standard deviation read length of clean forward reads	Freyja (ONT), TheiaCoV_ONT, TheiaProk_ONT, TheiaViral_ONT, TheiaEuk_ONT
nanoplot_r1_stdev_readlength_raw	Float	Standard deviation read length of raw forward reads	Freyja (ONT), TheiaCoV_ONT, TheiaProk_ONT, TheiaViral_ONT, TheiaEuk_ONT
nanoplot_tsv_clean	File	A TSV report describing the clean reads	Freyja (ONT), TheiaCoV_ONT, TheiaProk_ONT, TheiaViral_ONT, TheiaEuk_ONT
nanoplot_tsv_raw	File	A TSV report describing the raw reads	Freyja (ONT), TheiaCoV_ONT, TheiaProk_ONT, TheiaViral_ONT, TheiaEuk_ONT
nanoplot_version	String	Version of nanoplot used for analysis	TheiaCoV_ONT, TheiaProk_ONT, TheiaEuk_ONT
nanoq_version	String	Version of nanoq used in analysis	Freyja (ONT), TheiaProk_ONT, TheiaViral_ONT, TheiaEuk_ONT
ncbi_scrub_docker	String	The Docker image for NCBI's HRRT (human read removal tool)	NCBI_Scrub_PE, NCBI_Scrub_SE,TheiaMeta_Illumina_PE, TheiaViral_Illumina_PE, TheiaViral_ONT
ncbi_scrub_human_spots_removed	Int	Number of spots removed (or masked)	NCBI_Scrub_PE, NCBI_Scrub_SE, TheiaViral_Illumina_PE, TheiaViral_ONT
ncbi_scrub_pe_analysis_date	String	Date of analysis	NCBI_Scrub_PE, NCBI_Scrub_SE
ncbi_scrub_pe_version	String	Version of HRRT software used	NCBI_Scrub_PE, NCBI_Scrub_SE
nextclade_aa_dels	String	Amino-acid deletions as detected by NextClade. Will be blank for Flu	TheiaCoV_ClearLabs, TheiaCoV_FASTA, TheiaCoV_ONT, TheiaCoV_Illumina_PE, TheiaCoV_Illumina_SE
nextclade_aa_dels_flu_h5n1	String	Amino-acid deletions as detected by NextClade. Specific to flu; it includes deletions for H5N1 whole genome	TheiaCoV_ONT, TheiaCoV_Illumina_PE, TheiaCoV_FASTA
nextclade_aa_dels_flu_ha	String	Amino-acid deletions as detected by NextClade. Specific to flu; it includes deletions for HA segment	TheiaCoV_ONT, TheiaCoV_Illumina_PE, TheiaViral_Illumina_PE, TheiaViral_ONT, TheiaCoV_FASTA
nextclade_aa_dels_flu_na	String	Amino-acid deletions as detected by NextClade. Specific to Flu; it includes deletions for NA segment	TheiaCoV_ONT, TheiaCoV_Illumina_PE, TheiaViral_Illumina_PE, TheiaViral_ONT, TheiaCoV_FASTA
nextclade_aa_dels_mpxv	String	Amino-acid deletions as detected by Nextclade. Specific to Monkeypox	TheiaViral_Illumina_PE, TheiaViral_ONT
nextclade_aa_dels_rabies	String	Amino-acid deletions as detected by Nextclade. Specific to Monkeypox	TheiaViral_Illumina_PE, TheiaViral_ONT
nextclade_aa_subs_mpxv	String	Amino-acid substitutions as detected by Nextclade. Specific to Monkeypox	TheiaViral_Illumina_PE, TheiaViral_ONT
nextclade_aa_subs_rabies	String	Amino-acid substitutions as detected by Nextclade. Specific to Monkeypox	TheiaViral_Illumina_PE, TheiaViral_ONT
nextclade_aa_subs	String	Amino-acid substitutions as detected by Nextclade. Will be blank for Flu	TheiaCoV_ClearLabs, TheiaCoV_FASTA, TheiaCoV_ONT, TheiaCoV_Illumina_PE, TheiaCoV_Illumina_SE
nextclade_aa_subs_flu_h5n1	String	Amino-acid substitutions as detected by Nextclade. Specific to Flu; it includes substitutions for H5N1 whole genome	TheiaCoV_ONT, TheiaCoV_Illumina_PE, TheiaCoV_FASTA
nextclade_aa_subs_flu_ha	String	Amino-acid substitutions as detected by Nextclade. Specific to Flu; it includes substitutions for HA segment	TheiaCoV_ONT, TheiaCoV_Illumina_PE, TheiaViral_Illumina_PE, TheiaViral_ONT, TheiaCoV_FASTA
nextclade_aa_subs_flu_na	String	Amino-acid substitutions as detected by Nextclade. Specific to Flu; it includes substitutions for NA segment	TheiaCoV_ONT, TheiaCoV_Illumina_PE, TheiaViral_Illumina_PE, TheiaViral_ONT, TheiaCoV_FASTA
nextclade_clade	String	Nextclade clade designation, will be blank for Flu.	TheiaCoV_ClearLabs, TheiaCoV_FASTA, TheiaCoV_ONT, TheiaCoV_Illumina_PE, TheiaCoV_Illumina_SE
nextclade_clade_flu_h5n1	String	Nextclade clade designation, specific to Flu 5N1 whole genome. NOTE: Output will be blank or `NA` since this nextclade dataset does assign clades	TheiaCoV_ONT, TheiaCoV_Illumina_PE, TheiaCoV_FASTA
nextclade_clade_flu_ha	String	Nextclade clade designation, specific to Flu NA segment	TheiaCoV_ONT, TheiaCoV_Illumina_PE, TheiaCoV_FASTA, TheiaViral_Illumina_PE, TheiaViral_ONT
nextclade_clade_flu_na	String	Nextclade clade designation, specific to Flu HA segment	TheiaCoV_ONT, TheiaCoV_Illumina_PE, TheiaCoV_FASTA, TheiaViral_Illumina_PE, TheiaViral_ONT
nextclade_clade_rabies	String	Nextclade clade designation, specific to Rabies	TheiaViral_Illumina_PE, TheiaViral_ONT
nextclade_clade_mpxv	String	Nextclade clade designation, specific to Monkeypox	TheiaViral_Illumina_PE, TheiaViral_ONT
nextclade_docker	String	Docker image used to run Nextclade	TheiaCoV_ClearLabs, TheiaCoV_FASTA, TheiaCoV_ONT, TheiaCoV_Illumina_PE, TheiaCoV_Illumina_SE, TheiaViral_Illumina_PE, TheiaViral_ONT
