Terra Task Name	Variable	Type	Description	Default Value	Terra Status	Workflow	Classification
merlin_magic	cladetyper_ref_clade2	File	Reference genome FASTA for *C. auris* clade2	gs://theiagen-public-resources-rp/reference_data/eukaryotic/candidozyma/Cauris_Clade2_GCA_003013715.2_ASM301371v2_genomic.fasta	Optional	TheiaEuk_ONT, TheiaEuk_Illumina_PE	reference
merlin_magic	cladetyper_ref_clade2_annotated	File	*Provide an empty file if running TheiaProk on the command-line		Optional	TheiaProk_FASTA, TheiaProk_ONT, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE	general
merlin_magic	cladetyper_ref_clade2_annotated	File	Reference GBFF annotation for *C. auris* clade2	gs://theiagen-public-resources-rp/reference_data/eukaryotic/candidozyma/Cauris_Clade2_GCA_003013715.2_ASM301371v2_genomic.gbff	Optional	TheiaEuk_ONT, TheiaEuk_Illumina_PE	reference
merlin_magic	cladetyper_ref_clade3	File	*Provide an empty file if running TheiaProk on the command-line		Optional	TheiaProk_FASTA, TheiaProk_ONT, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE	general
merlin_magic	cladetyper_ref_clade3	File	Reference genome FASTA for *C. auris* clade3	gs://theiagen-public-resources-rp/reference_data/eukaryotic/candidozyma/Cauris_Clade3_GCF_002775015.1_Cand_auris_B11221_V1_genomic.fasta	Optional	TheiaEuk_ONT, TheiaEuk_Illumina_PE	reference
merlin_magic	cladetyper_ref_clade3_annotated	File	*Provide an empty file if running TheiaProk on the command-line		Optional	TheiaProk_FASTA, TheiaProk_ONT, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE	general
merlin_magic	cladetyper_ref_clade3_annotated	File	Reference GBFF annotation for *C. auris* clade3	gs://theiagen-public-resources-rp/reference_data/eukaryotic/candidozyma/Cauris_Clade3_GCF_002775015.1_Cand_auris_B11221_V1_genomic.gbff	Optional	TheiaEuk_ONT, TheiaEuk_Illumina_PE	reference
merlin_magic	cladetyper_ref_clade4	File	*Provide an empty file if running TheiaProk on the command-line		Optional	TheiaProk_FASTA, TheiaProk_ONT, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE	general
merlin_magic	cladetyper_ref_clade4	File	Reference genome FASTA for *C. auris* clade4	gs://theiagen-public-resources-rp/reference_data/eukaryotic/candidozyma/Cauris_Clade4_GCA_003014415.1_Cand_auris_B11243_genomic.fasta	Optional	TheiaEuk_ONT, TheiaEuk_Illumina_PE	reference
merlin_magic	cladetyper_ref_clade4_annotated	File	*Provide an empty file if running TheiaProk on the command-line		Optional	TheiaProk_FASTA, TheiaProk_ONT, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE	general
merlin_magic	cladetyper_ref_clade4_annotated	File	Reference GBFF annotation for *C. auris* clade4	gs://theiagen-public-resources-rp/reference_data/eukaryotic/candidozyma/Cauris_Clade4_GCA_003014415.1_Cand_auris_B11243_genomic.gbff	Optional	TheiaEuk_ONT, TheiaEuk_Illumina_PE	reference
merlin_magic	cladetyper_ref_clade5	File	*Provide an empty file if running TheiaProk on the command-line		Optional	TheiaProk_FASTA, TheiaProk_ONT, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE	general
merlin_magic	cladetyper_ref_clade5	File	Reference genome FASTA for *C. auris* clade5	gs://theiagen-public-resources-rp/reference_data/eukaryotic/candidozyma/Cauris_Clade5_GCA_016809505.1_ASM1680950v1_genomic.fasta	Optional	TheiaEuk_ONT, TheiaEuk_Illumina_PE	reference
merlin_magic	cladetyper_ref_clade5_annotated	File	*Provide an empty file if running TheiaProk on the command-line		Optional	TheiaProk_FASTA, TheiaProk_ONT, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE	general
merlin_magic	cladetyper_ref_clade5_annotated	File	Reference GBFF annotation for *C. auris* clade5	gs://theiagen-public-resources-rp/reference_data/eukaryotic/candidozyma/Cauris_Clade5_GCA_016809505.1_ASM1680950v1_genomic.gbff	Optional	TheiaEuk_ONT, TheiaEuk_Illumina_PE	reference
merlin_magic	cladetyper_ref_clade6	File	Reference genome FASTA for *C. auris* clade6	gs://theiagen-public-resources-rp/reference_data/eukaryotic/candidozyma/Cauris_Clade6_GCA_032714025.1_ASM3271402v1_genomic.fasta	Optional	TheiaEuk_ONT, TheiaEuk_Illumina_PE	reference
merlin_magic	cladetyper_ref_clade6	File	The reference assembly for clade 6	gs://theiagen-public-resources-rp/reference_data/eukaryotic/candidozyma/Cauris_Clade6_GCA_032714025.1_ASM3271402v1_genomic.fasta	Optional	TheiaProk_FASTA, TheiaProk_ONT, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE	reference
merlin_magic	cladetyper_ref_clade6_annotated	File	Reference GBFF annotation for *C. auris* clade6		Optional	TheiaEuk_ONT, TheiaEuk_Illumina_PE	general
merlin_magic	cladetyper_ref_clade6_annotated	File	The path to the annotated reference for clade 6		Optional	TheiaProk_FASTA, TheiaProk_ONT, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE	general
merlin_magic	clockwork_docker_image	String	Internal component, do not modify		Optional	TheiaEuk_ONT, TheiaEuk_Illumina_PE	general
merlin_magic	clockwork_docker_image	String	The Docker container to use for the task	us-docker.pkg.dev/general-theiagen/cdcgov/varpipe_wgs_with_refs:2bc7234074bd53d9e92a1048b0485763cd9bbf6f4d12d5a1cc82bfec8ca7d75e	Optional	TheiaProk_FASTA, TheiaProk_ONT, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE	docker
merlin_magic	ectyper_docker_image	String	Internal component, do not modify		Optional	TheiaEuk_Illumina_PE, TheiaEuk_ONT	general
merlin_magic	ectyper_docker_image	String	The Docker container to use for the task	us-docker.pkg.dev/general-theiagen/biocontainers/ectyper:1.0.0--pyhdfd78af_1	Optional	TheiaProk_FASTA, TheiaProk_ONT, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE	docker
merlin_magic	ectyper_h_min_percent_coverage	Int	Internal component, do not modify		Optional	TheiaEuk_Illumina_PE, TheiaEuk_ONT	general
merlin_magic	ectyper_h_min_percent_coverage	Int	Minumum percent coverage required for an H antigen allele match	50	Optional	TheiaProk_FASTA, TheiaProk_ONT, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE	general
merlin_magic	ectyper_h_min_percent_identity	Int	Internal component, do not modify		Optional	TheiaEuk_Illumina_PE, TheiaEuk_ONT	general
merlin_magic	ectyper_h_min_percent_identity	Int	Percent identity required for an H antigen allele match	95	Optional	TheiaProk_FASTA, TheiaProk_ONT, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE	general
merlin_magic	ectyper_o_min_percent_coverage	Int	Internal component, do not modify		Optional	TheiaEuk_Illumina_PE, TheiaEuk_ONT	general
merlin_magic	ectyper_o_min_percent_coverage	Int	Minumum percent coverage required for an O antigen allele match	90	Optional	TheiaProk_FASTA, TheiaProk_ONT, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE	general
merlin_magic	ectyper_o_min_percent_identity	Int	Internal component, do not modify		Optional	TheiaEuk_Illumina_PE, TheiaEuk_ONT	general
merlin_magic	ectyper_o_min_percent_identity	Int	Percent identity required for an O antigen allele match	90	Optional	TheiaProk_FASTA, TheiaProk_ONT, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE	general
merlin_magic	ectyper_print_alleles	Boolean	Internal component, do not modify		Optional	TheiaEuk_Illumina_PE, TheiaEuk_ONT	general
merlin_magic	ectyper_print_alleles	Boolean	Set to true to print the allele sequences as the final column	FALSE	Optional	TheiaProk_FASTA, TheiaProk_ONT, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE	general
merlin_magic	ectyper_verify	Boolean	Internal component, do not modify		Optional	TheiaEuk_Illumina_PE, TheiaEuk_ONT	general
merlin_magic	ectyper_verify	Boolean	Set to true to enable E. coli species verification	FALSE	Optional	TheiaProk_FASTA, TheiaProk_ONT, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE	general
merlin_magic	emmtyper_align_diff	Int	Internal component, do not modify		Optional	TheiaEuk_Illumina_PE, TheiaEuk_ONT	general
merlin_magic	emmtyper_align_diff	Int	Threshold for difference between alignment length and subject length in BLAST hit.		Optional	TheiaProk_FASTA, TheiaProk_ONT, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE	general
merlin_magic	emmtyper_cluster_distance	Int	Distance between cluster of matches to consider as different clusters.		Optional	TheiaProk_FASTA, TheiaProk_ONT, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE	general
merlin_magic	emmtyper_cluster_distance	Int	Internal component, do not modify		Optional	TheiaEuk_Illumina_PE, TheiaEuk_ONT	general
merlin_magic	emmtyper_culling_limit	Int	Internal component, do not modify		Optional	TheiaEuk_Illumina_PE, TheiaEuk_ONT	general
merlin_magic	emmtyper_culling_limit	Int	Total hits to return in a position.		Optional	TheiaProk_FASTA, TheiaProk_ONT, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE	general
merlin_magic	emmtyper_docker_image	String	Internal component, do not modify		Optional	TheiaEuk_Illumina_PE, TheiaEuk_ONT	general
merlin_magic	emmtyper_docker_image	String	The Docker container to use for the task	us-docker.pkg.dev/general-theiagen/biocontainers/emmtyper:0.2.0--py_0	Optional	TheiaProk_FASTA, TheiaProk_ONT, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE	docker
merlin_magic	emmtyper_gap	Int	Internal component, do not modify		Optional	TheiaEuk_Illumina_PE, TheiaEuk_ONT	general
merlin_magic	emmtyper_gap	Int	Threshold gap to allow in BLAST hit.		Optional	TheiaProk_FASTA, TheiaProk_ONT, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE	general
merlin_magic	emmtyper_max_size	Int	Internal component, do not modify		Optional	TheiaEuk_Illumina_PE, TheiaEuk_ONT	general
merlin_magic	emmtyper_max_size	Int	Maximum size of PCR product.		Optional	TheiaProk_FASTA, TheiaProk_ONT, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE	general
merlin_magic	emmtyper_min_good	Int	Internal component, do not modify		Optional	TheiaEuk_Illumina_PE, TheiaEuk_ONT	general
merlin_magic	emmtyper_min_good	Int	Minimum size where there must be 2 matches for each mismatch.		Optional	TheiaProk_FASTA, TheiaProk_ONT, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE	general
merlin_magic	emmtyper_min_percent_identity	Int	Internal component, do not modify		Optional	TheiaEuk_Illumina_PE, TheiaEuk_ONT	general
merlin_magic	emmtyper_min_percent_identity	Int	Minimal percent identity of sequence.		Optional	TheiaProk_FASTA, TheiaProk_ONT, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE	general
merlin_magic	emmtyper_min_perfect	Int	Internal component, do not modify		Optional	TheiaEuk_Illumina_PE, TheiaEuk_ONT	general
merlin_magic	emmtyper_min_perfect	Int	Minimum size of perfect match at 3' primer end.		Optional	TheiaProk_FASTA, TheiaProk_ONT, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE	general
merlin_magic	emmtyper_mismatch	Int	Internal component, do not modify		Optional	TheiaEuk_Illumina_PE, TheiaEuk_ONT	general
merlin_magic	emmtyper_mismatch	Int	Threshold for number of mismatch to allow in BLAST hit.		Optional	TheiaProk_FASTA, TheiaProk_ONT, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE	general
merlin_magic	emmtyper_wf	String	Choose workflow [blast|pcr]		Optional	TheiaProk_FASTA, TheiaProk_ONT, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE	general
merlin_magic	emmtyper_wf	String	Internal component, do not modify		Optional	TheiaEuk_Illumina_PE, TheiaEuk_ONT	general
merlin_magic	emmtypingtool_docker_image	String	Internal component, do not modify		Optional	TheiaEuk_Illumina_PE, TheiaEuk_ONT	general
merlin_magic	emmtypingtool_docker_image	String	The Docker container to use for the task	us-docker.pkg.dev/general-theiagen/staphb/emmtypingtool:0.0.1	Optional	TheiaProk_FASTA, TheiaProk_ONT, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE	docker
merlin_magic	genotyphi_docker_image	String	Internal component, do not modify		Optional	TheiaEuk_Illumina_PE, TheiaEuk_ONT	general
merlin_magic	genotyphi_docker_image	String	The Docker container to use for the task	us-docker.pkg.dev/general-theiagen/staphb/mykrobe:0.11.0	Optional	TheiaProk_FASTA, TheiaProk_ONT, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE	docker
merlin_magic	hicap_broken_gene_length	Int	Internal component, do not modify		Optional	TheiaEuk_Illumina_PE, TheiaEuk_ONT	general
merlin_magic	hicap_broken_gene_length	Int	Minimum length to consider a broken gene	60	Optional	TheiaProk_FASTA, TheiaProk_ONT, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE	general
merlin_magic	hicap_docker_image	String	Internal component, do not modify		Optional	TheiaEuk_Illumina_PE, TheiaEuk_ONT	general
merlin_magic	hicap_docker_image	String	The Docker container to use for the task	us-docker.pkg.dev/general-theiagen/biocontainers/hicap:1.0.3--py_0	Optional	TheiaProk_FASTA, TheiaProk_ONT, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE	docker
merlin_magic	hicap_min_broken_gene_percent_identity	Float	Internal component, do not modify		Optional	TheiaEuk_Illumina_PE, TheiaEuk_ONT	general
merlin_magic	hicap_min_broken_gene_percent_identity	Float	Minimum percentage identity to consider a broken gene	0.8	Optional	TheiaProk_FASTA, TheiaProk_ONT, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE	general
merlin_magic	hicap_min_gene_percent_coverage	Float	Internal component, do not modify		Optional	TheiaEuk_Illumina_PE, TheiaEuk_ONT	general
merlin_magic	hicap_min_gene_percent_coverage	Float	Minimum percentage coverage to consider a single gene complete	0.8	Optional	TheiaProk_FASTA, TheiaProk_ONT, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE	general
merlin_magic	hicap_min_gene_percent_identity	Float	Internal component, do not modify		Optional	TheiaEuk_Illumina_PE, TheiaEuk_ONT	general
merlin_magic	hicap_min_gene_percent_identity	Float	Minimum percentage identity to consider a single gene complete	0.7	Optional	TheiaProk_FASTA, TheiaProk_ONT, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE	general
merlin_magic	kaptive_docker_image	String	Internal component, do not modify		Optional	TheiaEuk_Illumina_PE, TheiaEuk_ONT	general
merlin_magic	kaptive_docker_image	String	The Docker container to use for the task	us-docker.pkg.dev/general-theiagen/staphb/kaptive:2.0.3	Optional	TheiaProk_FASTA, TheiaProk_ONT, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE	docker
merlin_magic	kaptive_low_gene_percent_identity	Float	Internal component, do not modify		Optional	TheiaEuk_Illumina_PE, TheiaEuk_ONT	general
merlin_magic	kaptive_low_gene_percent_identity	Float	Percent identity threshold for what counts as a low identity match in the gene BLAST search	95	Optional	TheiaProk_FASTA, TheiaProk_ONT, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE	general
merlin_magic	kaptive_min_percent_coverage	Float	Internal component, do not modify		Optional	TheiaEuk_Illumina_PE, TheiaEuk_ONT	general
merlin_magic	kaptive_min_percent_coverage	Float	Minimum required percent coverage for the gene BLAST search via tBLASTn	80	Optional	TheiaProk_FASTA, TheiaProk_ONT, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE	general
merlin_magic	kaptive_min_percent_identity	Float	Internal component, do not modify		Optional	TheiaEuk_Illumina_PE, TheiaEuk_ONT	general
merlin_magic	kaptive_min_percent_identity	Float	Minimum required percent identity for the gene BLAST search via tBLASTn	90	Optional	TheiaProk_FASTA, TheiaProk_ONT, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE	general
merlin_magic	kaptive_start_end_margin	Int	Determines flexibility in identifying the start and end of a locus - if this value is 10, a locus match that is missing the first 8 base pairs will still count as capturing the start of the locus	10	Optional	TheiaProk_FASTA, TheiaProk_ONT, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE	general
merlin_magic	kaptive_start_end_margin	Int	Internal component, do not modify		Optional	TheiaEuk_Illumina_PE, TheiaEuk_ONT	general
merlin_magic	kleborate_docker_image	String	Internal component, do not modify		Optional	TheiaEuk_Illumina_PE, TheiaEuk_ONT	general
merlin_magic	kleborate_docker_image	String	The Docker container to use for the task	us-docker.pkg.dev/general-theiagen/staphb/kleborate:2.2.0	Optional	TheiaProk_FASTA, TheiaProk_ONT, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE	docker
merlin_magic	kleborate_min_kaptive_confidence	String	{None,Low,Good,High,Very_high,Perfect} Minimum Kaptive confidence to call K/O loci - confidence levels below this will be reported as unknown	Good	Optional	TheiaProk_FASTA, TheiaProk_ONT, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE	general
merlin_magic	kleborate_min_kaptive_confidence	String	Internal component, do not modify		Optional	TheiaEuk_Illumina_PE, TheiaEuk_ONT	general
merlin_magic	kleborate_min_percent_coverage	Float	Internal component, do not modify		Optional	TheiaEuk_Illumina_PE, TheiaEuk_ONT	general
merlin_magic	kleborate_min_percent_coverage	Float	Minimum alignment percent coverage for main results	80	Optional	TheiaProk_FASTA, TheiaProk_ONT, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE	general
merlin_magic	kleborate_min_percent_identity	Float	Internal component, do not modify		Optional	TheiaEuk_Illumina_PE, TheiaEuk_ONT	general
merlin_magic	kleborate_min_percent_identity	Float	Minimum alignment percent identity for main results	90	Optional	TheiaProk_FASTA, TheiaProk_ONT, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE	general
merlin_magic	kleborate_min_spurious_percent_coverage	Float	Internal component, do not modify		Optional	TheiaEuk_Illumina_PE, TheiaEuk_ONT	general
merlin_magic	kleborate_min_spurious_percent_coverage	Float	Minimum alignment percent coverage for spurious results	40	Optional	TheiaProk_FASTA, TheiaProk_ONT, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE	general
merlin_magic	kleborate_min_spurious_percent_identity	Float	Internal component, do not modify		Optional	TheiaEuk_Illumina_PE, TheiaEuk_ONT	general
merlin_magic	kleborate_min_spurious_percent_identity	Float	Minimum alignment percent identity for spurious results	80	Optional	TheiaProk_FASTA, TheiaProk_ONT, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE	general
merlin_magic	kleborate_skip_kaptive	Boolean	Equivalent to --kaptive_k --kaptive_	FALSE	Optional	TheiaProk_FASTA, TheiaProk_ONT, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE	general
merlin_magic	kleborate_skip_kaptive	Boolean	Internal component, do not modify		Optional	TheiaEuk_Illumina_PE, TheiaEuk_ONT	general
merlin_magic	kleborate_skip_resistance	Boolean	Internal component, do not modify		Optional	TheiaEuk_Illumina_PE, TheiaEuk_ONT	general
merlin_magic	kleborate_skip_resistance	Boolean	Set to true to turn on resistance genes screening (default: no resistance gene screening)	FALSE	Optional	TheiaProk_FASTA, TheiaProk_ONT, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE	general
merlin_magic	legsta_docker_image	String	Internal component, do not modify		Optional	TheiaProk_FASTA, TheiaProk_ONT, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE	general
merlin_magic	legsta_docker_image	String	The Docker container to use for the task	us-docker.pkg.dev/general-theiagen/biocontainers/legsta:0.5.1--hdfd78af_2	Optional	TheiaEuk_Illumina_PE, TheiaEuk_ONT	docker
merlin_magic	lissero_docker_image	String	Internal component, do not modify		Optional	TheiaEuk_Illumina_PE, TheiaEuk_ONT	general
merlin_magic	lissero_docker_image	String	The Docker container to use for the task	us-docker.pkg.dev/general-theiagen/biocontainers/lissero:0.4.9--py_0	Optional	TheiaProk_FASTA, TheiaProk_ONT, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE	docker
merlin_magic	lissero_min_percent_coverage	Float	Internal component, do not modify		Optional	TheiaEuk_Illumina_PE, TheiaEuk_ONT	general
merlin_magic	lissero_min_percent_coverage	Float	Minimum percent coverage of the gene to accept a match	95	Optional	TheiaProk_FASTA, TheiaProk_ONT, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE	general
merlin_magic	lissero_min_percent_identity	Float	Internal component, do not modify		Optional	TheiaEuk_Illumina_PE, TheiaEuk_ONT	general
merlin_magic	lissero_min_percent_identity	Float	Minimum percent identity to accept a match	95	Optional	TheiaProk_FASTA, TheiaProk_ONT, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE	general
merlin_magic	meningotype_docker_image	String	Internal component, do not modify		Optional	TheiaEuk_Illumina_PE, TheiaEuk_ONT	general
merlin_magic	meningotype_docker_image	String	The Docker container to use for the task	us-docker.pkg.dev/general-theiagen/biocontainers/meningotype:0.8.5--pyhdfd78af_0	Optional	TheiaProk_FASTA, TheiaProk_ONT, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE	docker
merlin_magic	ngmaster_docker_image	String	Internal component, do not modify		Optional	TheiaEuk_Illumina_PE, TheiaEuk_ONT	general
merlin_magic	ngmaster_docker_image	String	The Docker container to use for the task	us-docker.pkg.dev/general-theiagen/staphb/ngmaster:1.0.0	Optional	TheiaProk_FASTA, TheiaProk_ONT, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE	docker
merlin_magic	ont_data	Boolean	Set to true if your data is ONT FASTQ files	FALSE	Optional	TheiaProk_FASTA, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE, TheiaEuk_Illumina_PE	general
merlin_magic	paired_end	Boolean	Set to true if your data is paired-end FASTQ files	TRUE	Optional	TheiaProk_ONT, TheiaProk_Illumina_PE, TheiaEuk_ONT, TheiaEuk_Illumina_PE	general
merlin_magic	pasty_docker_image	String	Internal component, do not modify		Optional	TheiaEuk_Illumina_PE, TheiaEuk_ONT	general
merlin_magic	pasty_docker_image	String	The Docker container to use for the task	us-docker.pkg.dev/general-theiagen/staphb/pasty:1.0.3	Optional	TheiaProk_FASTA, TheiaProk_ONT, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE	docker
merlin_magic	pasty_min_percent_coverage	Int	Internal component, do not modify		Optional	TheiaEuk_Illumina_PE, TheiaEuk_ONT	general
merlin_magic	pasty_min_percent_coverage	Int	Minimum coverage of a O-antigen to be considered for serogrouping by pasty	95	Optional	TheiaProk_FASTA, TheiaProk_ONT, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE	general
merlin_magic	pasty_min_percent_identity	Int	Internal component, do not modify		Optional	TheiaEuk_Illumina_PE, TheiaEuk_ONT	general
merlin_magic	pasty_min_percent_identity	Int	Minimum percent identity for a blast hit to be considered for serogrouping	95	Optional	TheiaProk_FASTA, TheiaProk_ONT, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE	general
merlin_magic	pbptyper_docker_image	String	Internal component, do not modify		Optional	TheiaEuk_Illumina_PE, TheiaEuk_ONT	general
merlin_magic	pbptyper_docker_image	String	The Docker container to use for the task	us-docker.pkg.dev/general-theiagen/staphb/pbptyper:1.0.4	Optional	TheiaProk_FASTA, TheiaProk_ONT, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE	docker
merlin_magic	pbptyper_min_percent_coverage	Int	Internal component, do not modify		Optional	TheiaEuk_Illumina_PE, TheiaEuk_ONT	general
merlin_magic	pbptyper_min_percent_coverage	Int	Minimum percent coverage to count a hit	90	Optional	TheiaProk_FASTA, TheiaProk_ONT, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE	general
merlin_magic	pbptyper_min_percent_identity	Int	Internal component, do not modify		Optional	TheiaEuk_Illumina_PE, TheiaEuk_ONT	general
merlin_magic	pbptyper_min_percent_identity	Int	Minimum percent identity to count a hit	90	Optional	TheiaProk_FASTA, TheiaProk_ONT, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE	general
merlin_magic	poppunk_docker_image	String	Internal component, do not modify		Optional	TheiaEuk_Illumina_PE, TheiaEuk_ONT	general
merlin_magic	poppunk_docker_image	String	The Docker container to use for the task	us-docker.pkg.dev/general-theiagen/staphb/poppunk:2.4.0	Optional	TheiaProk_FASTA, TheiaProk_ONT, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE	docker
merlin_magic	poppunk_gps_clusters_csv	File	Internal component, do not modify		Optional	TheiaEuk_Illumina_PE, TheiaEuk_ONT	general
merlin_magic	poppunk_gps_clusters_csv	File	Poppunk database file *Provide an empty or local file if running TheiaProk on the command-line	gs://theiagen-public-resources-rp/reference_data/databases/poppunk/GPS_v6/GPS_v6_clusters.csv	Optional	TheiaProk_FASTA, TheiaProk_ONT, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE	database
merlin_magic	poppunk_gps_dists_npy	File	Internal component, do not modify		Optional	TheiaEuk_Illumina_PE, TheiaEuk_ONT	general
merlin_magic	poppunk_gps_dists_npy	File	Poppunk database file *Provide an empty or local file if running TheiaProk on the command-line	gs://theiagen-public-resources-rp/reference_data/databases/poppunk/GPS_v6/GPS_v6.dists.npy	Optional	TheiaProk_FASTA, TheiaProk_ONT, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE	database
merlin_magic	poppunk_gps_dists_pkl	File	Internal component, do not modify		Optional	TheiaEuk_Illumina_PE, TheiaEuk_ONT	general
merlin_magic	poppunk_gps_dists_pkl	File	Poppunk database file *Provide an empty or local file if running TheiaProk on the command-line	gs://theiagen-public-resources-rp/reference_data/databases/poppunk/GPS_v6/GPS_v6.dists.pkl	Optional	TheiaProk_FASTA, TheiaProk_ONT, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE	database
merlin_magic	poppunk_gps_external_clusters_csv	File	Internal component, do not modify		Optional	TheiaEuk_Illumina_PE, TheiaEuk_ONT	general
merlin_magic	poppunk_gps_external_clusters_csv	File	Poppunk database file *Provide an empty or local file if running TheiaProk on the command-line	gs://theiagen-public-resources-rp/reference_data/databases/poppunk/GPS_v6/GPS_v6_external_clusters.csv	Optional	TheiaProk_FASTA, TheiaProk_ONT, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE	database
merlin_magic	poppunk_gps_fit_npz	File	Internal component, do not modify		Optional	TheiaEuk_Illumina_PE, TheiaEuk_ONT	general
merlin_magic	poppunk_gps_fit_npz	File	Poppunk database file *Provide an empty or local file if running TheiaProk on the command-line	gs://theiagen-public-resources-rp/reference_data/databases/poppunk/GPS_v6/GPS_v6_fit.npz	Optional	TheiaProk_FASTA, TheiaProk_ONT, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE	database
merlin_magic	poppunk_gps_fit_pkl	File	Internal component, do not modify		Optional	TheiaEuk_Illumina_PE, TheiaEuk_ONT	general
merlin_magic	poppunk_gps_fit_pkl	File	Poppunk database file *Provide an empty or local file if running TheiaProk on the command-line	gs://theiagen-public-resources-rp/reference_data/databases/poppunk/GPS_v6/GPS_v6_fit.pkl	Optional	TheiaProk_FASTA, TheiaProk_ONT, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE	database
merlin_magic	poppunk_gps_graph_gt	File	Internal component, do not modify		Optional	TheiaEuk_Illumina_PE, TheiaEuk_ONT	general
merlin_magic	poppunk_gps_graph_gt	File	Poppunk database file *Provide an empty or local file if running TheiaProk on the command-line	gs://theiagen-public-resources-rp/reference_data/databases/poppunk/GPS_v6/GPS_v6_graph.gt	Optional	TheiaProk_FASTA, TheiaProk_ONT, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE	database
merlin_magic	poppunk_gps_h5	File	Internal component, do not modify		Optional	TheiaEuk_Illumina_PE, TheiaEuk_ONT	general
merlin_magic	poppunk_gps_h5	File	Poppunk database file *Provide an empty or local file if running TheiaProk on the command-line	gs://theiagen-public-resources-rp/reference_data/databases/poppunk/GPS_v6/GPS_v6.h5	Optional	TheiaProk_FASTA, TheiaProk_ONT, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE	database
merlin_magic	poppunk_gps_qcreport_txt	File	Internal component, do not modify		Optional	TheiaEuk_Illumina_PE, TheiaEuk_ONT	general
